THV_ms,Delay,Delay_order,legit_total,replay_total,TP,TN,FP,FN,TNR
0,500 ms,500,1000,50,683,34,16,317,0.68
0,700 ms,700,1000,50,684,38,12,316,0.76
0,900 ms,900,1000,50,709,45,5,291,0.9
0,1 s,1000,1000,50,716,50,0,284,1.0
0,2 s,2000,1000,50,693,50,0,307,1.0
0,3 s,3000,1000,50,702,50,0,298,1.0
0,4 s,4000,1000,50,699,50,0,301,1.0
0,5 s,5000,1000,50,707,50,0,293,1.0
200,500 ms,500,1000,50,801,23,27,199,0.46
200,700 ms,700,1000,50,817,29,21,183,0.58
200,900 ms,900,1000,50,813,39,11,187,0.78
200,1 s,1000,1000,50,813,41,9,187,0.82
200,2 s,2000,1000,50,824,50,0,176,1.0
200,3 s,3000,1000,50,801,50,0,199,1.0
200,4 s,4000,1000,50,791,50,0,209,1.0
200,5 s,5000,1000,50,815,50,0,185,1.0
400,500 ms,500,1000,50,863,16,34,137,0.32
400,700 ms,700,1000,50,873,22,28,127,0.44
400,900 ms,900,1000,50,864,32,18,136,0.64
400,1 s,1000,1000,50,869,35,15,131,0.7
400,2 s,2000,1000,50,870,50,0,130,1.0
400,3 s,3000,1000,50,881,50,0,119,1.0
400,4 s,4000,1000,50,870,50,0,130,1.0
400,5 s,5000,1000,50,860,50,0,140,1.0
600,500 ms,500,1000,50,768,17,33,232,0.34
600,700 ms,700,1000,50,759,13,37,241,0.26
600,900 ms,900,1000,50,761,24,26,239,0.48
600,1 s,1000,1000,50,745,31,19,255,0.62
600,2 s,2000,1000,50,764,50,0,236,1.0
600,3 s,3000,1000,50,749,50,0,251,1.0
600,4 s,4000,1000,50,758,50,0,242,1.0
600,5 s,5000,1000,50,753,50,0,247,1.0
800,500 ms,500,1000,50,495,21,29,505,0.42
800,700 ms,700,1000,50,763,17,33,237,0.34
800,900 ms,900,1000,50,495,21,29,505,0.42
800,1 s,1000,1000,50,494,21,29,506,0.42
800,2 s,2000,1000,50,486,50,0,514,1.0
800,3 s,3000,1000,50,491,50,0,509,1.0
800,4 s,4000,1000,50,491,50,0,509,1.0
800,5 s,5000,1000,50,486,50,0,514,1.0
1000,500 ms,500,1000,50,821,18,32,179,0.36
1000,700 ms,700,1000,50,271,15,35,729,0.3
1000,900 ms,900,1000,50,279,14,36,721,0.28
1000,1 s,1000,1000,50,272,16,34,728,0.32
1000,2 s,2000,1000,50,274,48,2,726,0.96
1000,3 s,3000,1000,50,256,50,0,744,1.0
1000,4 s,4000,1000,50,273,50,0,727,1.0
1000,5 s,5000,1000,50,279,50,0,721,1.0
