THV_ms,Delay_s,TP,TN,FP,FN,TPR,TNR,FPR
0,1,687,50,0,313,0.687,1.0,0.0
0,2,647,50,0,353,0.647,1.0,0.0
0,3,672,50,0,328,0.672,1.0,0.0
0,4,661,50,0,339,0.661,1.0,0.0
0,5,678,50,0,322,0.678,1.0,0.0
200,1,799,43,7,201,0.799,0.86,0.14
200,2,765,50,0,235,0.765,1.0,0.0
200,3,775,50,0,225,0.775,1.0,0.0
200,4,761,50,0,239,0.761,1.0,0.0
200,5,792,50,0,208,0.792,1.0,0.0
400,1,840,38,12,160,0.84,0.76,0.24
400,2,837,50,0,163,0.837,1.0,0.0
400,3,841,50,0,159,0.841,1.0,0.0
400,4,826,50,0,174,0.826,1.0,0.0
400,5,831,50,0,169,0.831,1.0,0.0
600,1,872,30,20,128,0.872,0.6,0.4
600,2,859,50,0,141,0.859,1.0,0.0
600,3,893,50,0,107,0.893,1.0,0.0
600,4,871,50,0,129,0.871,1.0,0.0
600,5,882,50,0,118,0.882,1.0,0.0
800,1,898,22,28,102,0.898,0.44,0.56
800,2,910,50,0,90,0.91,1.0,0.0
800,3,908,50,0,92,0.908,1.0,0.0
800,4,916,50,0,84,0.916,1.0,0.0
800,5,920,50,0,80,0.92,1.0,0.0
1000,1,945,17,33,55,0.945,0.34,0.66
1000,2,922,48,2,78,0.922,0.96,0.04
1000,3,928,50,0,72,0.928,1.0,0.0
1000,4,937,50,0,63,0.937,1.0,0.0
1000,5,961,50,0,39,0.961,1.0,0.0
