THV_ms,Delay_s,TPR,TNR,Performance_critical_wTP_0.8,Balanced_wTP_0.5_wTN_0.5,Security_critical_wTN_0.8
0,1,0.687,1.0,0.7496,0.8435,0.9374
0,2,0.647,1.0,0.7176,0.8235,0.9294
0,3,0.672,1.0,0.7376,0.8360000000000001,0.9344000000000001
0,4,0.661,1.0,0.7288000000000001,0.8305,0.9322
0,5,0.678,1.0,0.7424000000000002,0.839,0.9356000000000001
200,1,0.799,0.86,0.8112000000000001,0.8295,0.8478000000000001
200,2,0.765,1.0,0.812,0.8825000000000001,0.9530000000000001
200,3,0.775,1.0,0.8200000000000001,0.8875,0.9550000000000001
200,4,0.761,1.0,0.8088,0.8805000000000001,0.9522
200,5,0.792,1.0,0.8336000000000001,0.896,0.9584
400,1,0.84,0.76,0.8240000000000001,0.8,0.7760000000000001
400,2,0.837,1.0,0.8695999999999999,0.9185,0.9674
400,3,0.841,1.0,0.8728,0.9205,0.9682000000000001
400,4,0.826,1.0,0.8608,0.913,0.9652000000000001
400,5,0.831,1.0,0.8648,0.9155,0.9662000000000001
600,1,0.872,0.6,0.8176,0.736,0.6544
600,2,0.859,1.0,0.8872,0.9295,0.9718
600,3,0.893,1.0,0.9144000000000001,0.9465,0.9786
600,4,0.871,1.0,0.8968,0.9355,0.9742000000000001
600,5,0.882,1.0,0.9056,0.9410000000000001,0.9764
800,1,0.898,0.44,0.8064,0.669,0.5316000000000001
800,2,0.91,1.0,0.9280000000000002,0.9550000000000001,0.9820000000000001
800,3,0.908,1.0,0.9264000000000001,0.954,0.9816
800,4,0.916,1.0,0.9328000000000001,0.958,0.9832000000000001
800,5,0.92,1.0,0.9360000000000002,0.96,0.9840000000000001
1000,1,0.945,0.34,0.8240000000000001,0.6425,0.461
1000,2,0.922,0.96,0.9296,0.9410000000000001,0.9524
1000,3,0.928,1.0,0.9424000000000001,0.964,0.9856
1000,4,0.937,1.0,0.9496,0.9685,0.9874
1000,5,0.961,1.0,0.9688000000000001,0.9804999999999999,0.9922000000000001
