THV_ms,Delay_ms,TP,TN,FP,FN,TPR,TNR,FPR
0,100,648,19,31,352,0.648,0.38,0.62
0,300,657,26,24,343,0.657,0.52,0.48
0,500,664,32,18,336,0.664,0.64,0.36
0,700,676,39,11,324,0.676,0.78,0.22
0,900,666,45,5,334,0.666,0.9,0.1
200,100,779,14,36,221,0.779,0.28,0.72
200,300,771,16,34,229,0.771,0.32,0.68
200,500,768,24,26,232,0.768,0.48,0.52
200,700,765,32,18,235,0.765,0.64,0.36
200,900,780,39,11,220,0.78,0.78,0.22
400,100,818,13,37,182,0.818,0.26,0.74
400,300,823,15,35,177,0.823,0.3,0.7
400,500,833,18,32,167,0.833,0.36,0.64
400,700,838,24,26,162,0.838,0.48,0.52
400,900,836,34,16,164,0.836,0.68,0.32
600,100,868,10,40,132,0.868,0.2,0.8
600,300,860,13,37,140,0.86,0.26,0.74
600,500,873,16,34,127,0.873,0.32,0.68
600,700,869,19,31,131,0.869,0.38,0.62
600,900,881,25,25,119,0.881,0.5,0.5
800,100,913,3,47,87,0.913,0.06,0.94
800,300,895,9,41,105,0.895,0.18,0.82
800,500,895,11,39,105,0.895,0.22,0.78
800,700,911,15,35,89,0.911,0.3,0.7
800,900,913,19,31,87,0.913,0.38,0.62
1000,100,926,5,45,74,0.926,0.1,0.9
1000,300,933,5,45,67,0.933,0.1,0.9
1000,500,918,9,41,82,0.918,0.18,0.82
1000,700,922,10,40,78,0.922,0.2,0.8
1000,900,921,12,38,79,0.921,0.24,0.76
