THV_ms,Delay_ms,TPR,TNR,Performance_critical_wTP_0.8,Balanced_wTP_0.5_wTN_0.5,Security_critical_wTN_0.8
0,100,0.648,0.38,0.5944,0.514,0.4336000000000001
0,300,0.657,0.52,0.6296,0.5885,0.5474000000000001
0,500,0.664,0.64,0.6592,0.652,0.6448
0,700,0.676,0.78,0.6968000000000001,0.728,0.7592000000000001
0,900,0.666,0.9,0.7128000000000001,0.783,0.8532000000000001
200,100,0.779,0.28,0.6792000000000001,0.5295000000000001,0.3798
200,300,0.771,0.32,0.6808000000000001,0.5455,0.4102
200,500,0.768,0.48,0.7104,0.624,0.5376000000000001
200,700,0.765,0.64,0.7400000000000001,0.7025,0.665
200,900,0.78,0.78,0.7800000000000001,0.78,0.7800000000000001
400,100,0.818,0.26,0.7064,0.5389999999999999,0.37160000000000004
400,300,0.823,0.3,0.7183999999999999,0.5615,0.40459999999999996
400,500,0.833,0.36,0.7384,0.5965,0.4546
400,700,0.838,0.48,0.7664,0.659,0.5516
400,900,0.836,0.68,0.8048000000000001,0.758,0.7112
600,100,0.868,0.2,0.7344,0.534,0.3336
600,300,0.86,0.26,0.7400000000000001,0.56,0.38
600,500,0.873,0.32,0.7624,0.5965,0.4306
600,700,0.869,0.38,0.7712000000000001,0.6245,0.47780000000000006
600,900,0.881,0.5,0.8048000000000001,0.6905,0.5762
800,100,0.913,0.06,0.7424000000000001,0.48650000000000004,0.23060000000000003
800,300,0.895,0.18,0.7520000000000001,0.5375,0.323
800,500,0.895,0.22,0.7600000000000001,0.5575,0.35500000000000004
800,700,0.911,0.3,0.7888000000000002,0.6055,0.4222
800,900,0.913,0.38,0.8064,0.6465000000000001,0.48660000000000003
1000,100,0.926,0.1,0.7608000000000001,0.513,0.26520000000000005
1000,300,0.933,0.1,0.7664000000000001,0.5165000000000001,0.26660000000000006
1000,500,0.918,0.18,0.7704000000000001,0.549,0.3276
1000,700,0.922,0.2,0.7776000000000001,0.561,0.34440000000000004
1000,900,0.921,0.24,0.7848000000000002,0.5805,0.37620000000000003
